timestamp,nifty_spot,expiry,strike,option_type,ltp,bid,ask,volume,oi,oi_change,iv
2026-08-25 09:34:12,24191.4,2026-08-25,23700.0,CE,506.05,505.9,507.6,2800,3092,1581,30.66
2026-08-25 09:34:12,24191.4,2026-08-25,23700.0,PE,0.9,0.85,0.9,221833,131839,43083,17.25
2026-08-25 09:34:12,24191.4,2026-08-25,23750.0,CE,458.6,454.65,456.75,411,591,41,27.79
2026-08-25 09:34:12,24191.4,2026-08-25,23750.0,PE,0.9,0.85,0.9,152067,59336,7676,15.57
2026-08-25 09:34:12,24191.4,2026-08-25,23800.0,CE,406.0,405.45,406.5,4470,6126,206,25.65
2026-08-25 09:34:12,24191.4,2026-08-25,23800.0,PE,1.0,0.95,1.0,383108,160534,35648,14.33
2026-08-25 09:34:12,24191.4,2026-08-25,23850.0,CE,355.25,355.25,356.4,1820,1585,208,23.14
2026-08-25 09:34:12,24191.4,2026-08-25,23850.0,PE,1.15,1.1,1.15,216330,69775,24281,12.98
2026-08-25 09:34:12,24191.4,2026-08-25,23900.0,CE,305.35,305.6,306.5,11277,6320,67,20.75
2026-08-25 09:34:12,24191.4,2026-08-25,23900.0,PE,1.45,1.4,1.45,403738,119162,25836,11.75
2026-08-25 09:34:12,24191.4,2026-08-25,23950.0,CE,256.95,256.65,257.4,14662,4176,1331,18.47
2026-08-25 09:34:12,24191.4,2026-08-25,23950.0,PE,1.9,1.85,1.9,429864,91018,36216,10.55
2026-08-25 09:34:12,24191.4,2026-08-25,24000.0,CE,207.85,207.5,208.05,150733,87353,6775,16.08
2026-08-25 09:34:12,24191.4,2026-08-25,24000.0,PE,3.0,2.95,3.0,881089,329949,79635,9.49
2026-08-25 09:34:12,24191.4,2026-08-25,24050.0,CE,159.5,159.5,159.9,133763,23313,11290,13.82
2026-08-25 09:34:12,24191.4,2026-08-25,24050.0,PE,4.8,4.75,4.8,692426,177584,101822,8.4
2026-08-25 09:34:12,24191.4,2026-08-25,24100.0,CE,114.45,114.2,114.5,550880,103470,48773,11.9
2026-08-25 09:34:12,24191.4,2026-08-25,24100.0,PE,9.5,9.45,9.5,1412419,369793,229134,7.64
2026-08-25 09:34:12,24191.4,2026-08-25,24150.0,CE,73.45,73.45,73.65,1226784,159403,90074,10.38
2026-08-25 09:34:12,24191.4,2026-08-25,24150.0,PE,19.45,19.4,19.45,1760111,394722,283579,7.01
2026-08-25 09:34:12,24191.4,2026-08-25,24200.0,CE,41.9,41.85,41.9,2141307,464865,210335,9.52
2026-08-25 09:34:12,24191.4,2026-08-25,24200.0,PE,37.95,38.0,38.05,1501837,429846,241101,6.35
2026-08-25 09:34:12,24191.4,2026-08-25,24250.0,CE,21.55,21.55,21.65,1286393,309954,115694,9.2
2026-08-25 09:34:12,24191.4,2026-08-25,24250.0,PE,67.6,67.45,67.6,444363,121806,73691,5.19
2026-08-25 09:34:12,24191.4,2026-08-25,24300.0,CE,10.4,10.4,10.45,1375493,443893,111229,9.26
2026-08-25 09:34:12,24191.4,2026-08-25,24300.0,PE,106.55,106.3,106.55,349124,127198,31846,
2026-08-25 09:34:12,24191.4,2026-08-25,24350.0,CE,4.9,4.9,4.95,734682,190196,41892,9.53
2026-08-25 09:34:12,24191.4,2026-08-25,24350.0,PE,151.2,151.15,151.55,75312,32270,4813,
2026-08-25 09:34:12,24191.4,2026-08-25,24400.0,CE,2.55,2.5,2.55,998557,236879,35964,10.15
2026-08-25 09:34:12,24191.4,2026-08-25,24400.0,PE,198.55,198.15,198.65,55119,38860,-3288,
2026-08-25 09:34:12,24191.4,2026-08-25,24450.0,CE,1.5,1.5,1.55,890521,107106,-8662,10.93
2026-08-25 09:34:12,24191.4,2026-08-25,24450.0,PE,247.25,247.2,247.85,9310,7480,70,
2026-08-25 09:34:12,24191.4,2026-08-25,24500.0,CE,1.15,1.15,1.2,720122,233665,-16912,12.14
2026-08-25 09:34:12,24191.4,2026-08-25,24500.0,PE,297.7,297.0,297.8,15113,41713,-410,
2026-08-25 09:34:12,24191.4,2026-08-25,24550.0,CE,0.85,0.8,0.85,319476,84955,-14029,13.01
2026-08-25 09:34:12,24191.4,2026-08-25,24550.0,PE,346.5,346.2,347.15,2447,2714,-5,
2026-08-25 09:34:12,24191.4,2026-08-25,24600.0,CE,0.75,0.75,0.8,342405,145912,-9802,14.41
2026-08-25 09:34:12,24191.4,2026-08-25,24600.0,PE,395.55,396.05,396.95,2546,9818,-333,
2026-08-25 09:34:12,24191.4,2026-08-25,24650.0,CE,0.75,0.7,0.75,241432,70024,-11286,15.77
2026-08-25 09:34:12,24191.4,2026-08-25,24650.0,PE,447.1,445.8,447.0,677,2592,-75,
2026-08-25 09:34:12,24191.4,2026-08-25,24700.0,CE,0.65,0.6,0.65,311101,144133,8073,16.92
2026-08-25 09:34:12,24191.4,2026-08-25,24700.0,PE,497.55,495.6,497.55,1564,9873,-415,
2026-08-25 09:35:13,24195.5,2026-08-25,23700.0,CE,510.35,508.65,510.35,2953,3918,2407,26.49
2026-08-25 09:35:13,24195.5,2026-08-25,23700.0,PE,0.85,0.85,0.9,223556,132943,44187,17.51
2026-08-25 09:35:13,24195.5,2026-08-25,23750.0,CE,458.6,457.9,459.75,415,590,40,25.85
2026-08-25 09:35:13,24195.5,2026-08-25,23750.0,PE,0.9,0.85,0.9,152862,59336,7676,15.95
2026-08-25 09:35:13,24195.5,2026-08-25,23800.0,CE,409.9,408.95,409.9,5182,6430,510,22.29
2026-08-25 09:35:13,24195.5,2026-08-25,23800.0,PE,0.95,0.95,1.0,386945,160530,35644,14.6
2026-08-25 09:35:13,24195.5,2026-08-25,23850.0,CE,357.45,358.2,359.35,1824,1581,204,19.77
2026-08-25 09:35:13,24195.5,2026-08-25,23850.0,PE,1.1,1.1,1.15,217626,70051,24557,13.26
2026-08-25 09:35:13,24195.5,2026-08-25,23900.0,CE,309.9,309.1,309.85,11810,6544,291,18.02
2026-08-25 09:35:13,24195.5,2026-08-25,23900.0,PE,1.4,1.4,1.45,409558,119276,25950,12.1
2026-08-25 09:35:13,24195.5,2026-08-25,23950.0,CE,259.6,259.65,260.0,15046,4169,1324,16.01
2026-08-25 09:35:13,24195.5,2026-08-25,23950.0,PE,1.8,1.8,1.85,433899,92394,37592,10.85
2026-08-25 09:35:13,24195.5,2026-08-25,24000.0,CE,210.8,210.65,211.0,152436,87614,7036,13.54
2026-08-25 09:35:13,24195.5,2026-08-25,24000.0,PE,2.85,2.85,2.9,893678,333014,82700,9.86
2026-08-25 09:35:13,24195.5,2026-08-25,24050.0,CE,162.15,162.1,162.4,135982,22257,10234,11.8
2026-08-25 09:35:13,24195.5,2026-08-25,24050.0,PE,4.65,4.6,4.65,705980,174523,98761,8.83
2026-08-25 09:35:13,24195.5,2026-08-25,24100.0,CE,117.3,117.25,117.3,558348,103470,48773,10.52
2026-08-25 09:35:13,24195.5,2026-08-25,24100.0,PE,9.0,8.95,9.0,1437342,375282,234623,8.14
2026-08-25 09:35:13,24195.5,2026-08-25,24150.0,CE,76.2,76.0,76.2,1240352,158090,88761,9.4
2026-08-25 09:35:13,24195.5,2026-08-25,24150.0,PE,18.4,18.4,18.45,1783813,400264,289121,7.63
2026-08-25 09:35:13,24195.5,2026-08-25,24200.0,CE,43.65,43.6,43.7,2177027,470173,215643,8.8
2026-08-25 09:35:13,24195.5,2026-08-25,24200.0,PE,36.35,36.35,36.4,1533048,441788,253043,7.24
2026-08-25 09:35:13,24195.5,2026-08-25,24250.0,CE,22.7,22.65,22.75,1311210,314290,120030,8.66
2026-08-25 09:35:13,24195.5,2026-08-25,24250.0,PE,65.0,64.95,65.05,452880,125081,76966,6.85
2026-08-25 09:35:13,24195.5,2026-08-25,24300.0,CE,10.75,10.7,10.8,1395464,448563,115899,8.84
2026-08-25 09:35:13,24195.5,2026-08-25,24300.0,PE,103.9,103.6,103.85,354310,128873,33521,6.09
2026-08-25 09:35:13,24195.5,2026-08-25,24350.0,CE,5.05,5.0,5.05,747067,192305,44001,9.13
2026-08-25 09:35:13,24195.5,2026-08-25,24350.0,PE,148.1,147.7,148.05,76356,32548,5091,
2026-08-25 09:35:13,24195.5,2026-08-25,24400.0,CE,2.5,2.45,2.5,1027413,249849,48934,9.71
2026-08-25 09:35:13,24195.5,2026-08-25,24400.0,PE,195.85,195.35,195.7,56057,38855,-3293,
2026-08-25 09:35:13,24195.5,2026-08-25,24450.0,CE,1.5,1.5,1.55,903615,107106,-8662,10.52
2026-08-25 09:35:13,24195.5,2026-08-25,24450.0,PE,246.1,244.0,244.35,9369,7496,86,
2026-08-25 09:35:13,24195.5,2026-08-25,24500.0,CE,1.2,1.15,1.2,723508,234916,-15661,11.79
2026-08-25 09:35:13,24195.5,2026-08-25,24500.0,PE,293.2,293.6,294.4,15300,41660,-463,
2026-08-25 09:35:13,24195.5,2026-08-25,24550.0,CE,0.85,0.8,0.85,321010,84703,-14281,12.75
2026-08-25 09:35:13,24195.5,2026-08-25,24550.0,PE,345.0,343.2,344.2,2467,2705,-14,
2026-08-25 09:35:13,24195.5,2026-08-25,24600.0,CE,0.8,0.75,0.8,343754,145884,-9830,14.03
2026-08-25 09:35:13,24195.5,2026-08-25,24600.0,PE,393.15,392.7,393.3,2577,9809,-342,
2026-08-25 09:35:13,24195.5,2026-08-25,24650.0,CE,0.7,0.7,0.75,243437,70351,-10959,15.37
2026-08-25 09:35:13,24195.5,2026-08-25,24650.0,PE,443.1,443.1,444.8,678,2585,-82,
2026-08-25 09:35:13,24195.5,2026-08-25,24700.0,CE,0.6,0.6,0.65,314378,144355,8295,16.67
2026-08-25 09:35:13,24195.5,2026-08-25,24700.0,PE,497.55,492.6,494.55,1564,9881,-407,
2026-08-25 09:36:13,24191.4,2026-08-25,23700.0,CE,513.2,511.5,513.15,5728,5743,4232,26.58
2026-08-25 09:36:13,24191.4,2026-08-25,23700.0,PE,0.95,0.9,0.95,238064,133710,44954,17.51
2026-08-25 09:36:13,24191.4,2026-08-25,23750.0,CE,458.6,458.85,461.6,415,590,40,25.85
2026-08-25 09:36:13,24191.4,2026-08-25,23750.0,PE,0.95,0.9,0.95,156109,59379,7719,15.95
2026-08-25 09:36:13,24191.4,2026-08-25,23800.0,CE,413.0,410.85,411.85,5899,6631,711,22.29
2026-08-25 09:36:13,24191.4,2026-08-25,23800.0,PE,1.0,0.95,1.0,400081,162346,37460,14.6
2026-08-25 09:36:13,24191.4,2026-08-25,23850.0,CE,361.25,360.25,361.45,1862,1586,209,19.72
2026-08-25 09:36:13,24191.4,2026-08-25,23850.0,PE,1.1,1.1,1.15,219651,69699,24205,13.26
2026-08-25 09:36:13,24191.4,2026-08-25,23900.0,CE,311.0,310.65,311.5,13031,6747,494,17.57
2026-08-25 09:36:13,24191.4,2026-08-25,23900.0,PE,1.45,1.4,1.45,422316,122006,28680,12.04
2026-08-25 09:36:13,24191.4,2026-08-25,23950.0,CE,261.5,261.15,261.9,15640,4141,1296,16.01
2026-08-25 09:36:13,24191.4,2026-08-25,23950.0,PE,1.75,1.7,1.75,442499,92044,37242,10.8
2026-08-25 09:36:13,24191.4,2026-08-25,24000.0,CE,211.9,211.9,212.45,161784,87183,6605,13.95
2026-08-25 09:36:13,24191.4,2026-08-25,24000.0,PE,2.6,2.55,2.6,937814,336772,86458,9.83
2026-08-25 09:36:13,24191.4,2026-08-25,24050.0,CE,163.9,163.6,164.05,143537,22345,10322,11.96
2026-08-25 09:36:13,24191.4,2026-08-25,24050.0,PE,4.25,4.25,4.3,741290,175622,99860,8.76
2026-08-25 09:36:13,24191.4,2026-08-25,24100.0,CE,118.6,118.1,118.35,594466,105094,50397,10.53
2026-08-25 09:36:13,24191.4,2026-08-25,24100.0,PE,8.45,8.45,8.5,1504608,375282,234623,8.08
2026-08-25 09:36:13,24191.4,2026-08-25,24150.0,CE,76.8,76.8,76.9,1307030,149487,80158,9.27
2026-08-25 09:36:13,24191.4,2026-08-25,24150.0,PE,17.6,17.6,17.7,1868908,407963,296820,7.56
2026-08-25 09:36:13,24191.4,2026-08-25,24200.0,CE,44.4,44.25,44.4,2330726,466959,212429,8.67
2026-08-25 09:36:13,24191.4,2026-08-25,24200.0,PE,35.1,35.1,35.15,1634830,453623,264878,7.13
2026-08-25 09:36:13,24191.4,2026-08-25,24250.0,CE,22.8,22.8,22.9,1395196,314070,119810,8.55
2026-08-25 09:36:13,24191.4,2026-08-25,24250.0,PE,63.65,63.55,63.65,485480,126354,78239,6.76
2026-08-25 09:36:13,24191.4,2026-08-25,24300.0,CE,10.85,10.8,10.9,1461031,454665,122001,8.73
2026-08-25 09:36:13,24191.4,2026-08-25,24300.0,PE,102.15,101.9,102.15,377023,128748,33396,5.86
2026-08-25 09:36:13,24191.4,2026-08-25,24350.0,CE,4.95,4.95,5.0,778365,195910,47606,9.09
2026-08-25 09:36:13,24191.4,2026-08-25,24350.0,PE,146.3,145.95,146.35,80724,32583,5126,
2026-08-25 09:36:13,24191.4,2026-08-25,24400.0,CE,2.45,2.4,2.45,1075106,253327,52412,9.71
2026-08-25 09:36:13,24191.4,2026-08-25,24400.0,PE,193.4,193.4,193.8,59409,38917,-3231,
2026-08-25 09:36:13,24191.4,2026-08-25,24450.0,CE,1.5,1.45,1.5,931382,107473,-8295,10.52
2026-08-25 09:36:13,24191.4,2026-08-25,24450.0,PE,242.95,242.2,242.75,10093,7496,86,
2026-08-25 09:36:13,24191.4,2026-08-25,24500.0,CE,1.2,1.15,1.2,731236,235273,-15304,11.71
2026-08-25 09:36:13,24191.4,2026-08-25,24500.0,PE,292.5,291.75,292.5,15947,41696,-427,
2026-08-25 09:36:13,24191.4,2026-08-25,24550.0,CE,0.8,0.8,0.85,324122,84746,-14238,12.75
2026-08-25 09:36:13,24191.4,2026-08-25,24550.0,PE,341.05,341.2,342.05,2595,2685,-34,
2026-08-25 09:36:13,24191.4,2026-08-25,24600.0,CE,0.75,0.75,0.8,347133,145855,-9859,14.03
2026-08-25 09:36:13,24191.4,2026-08-25,24600.0,PE,391.85,390.85,391.5,2714,9788,-363,
2026-08-25 09:36:13,24191.4,2026-08-25,24650.0,CE,0.7,0.65,0.7,246461,70597,-10713,15.51
2026-08-25 09:36:13,24191.4,2026-08-25,24650.0,PE,445.4,440.3,442.05,693,2583,-84,
2026-08-25 09:36:13,24191.4,2026-08-25,24700.0,CE,0.6,0.6,0.65,322225,146577,10517,16.67
2026-08-25 09:36:13,24191.4,2026-08-25,24700.0,PE,488.0,490.35,492.95,1589,9881,-407,
2026-08-25 09:37:14,24187.95,2026-08-25,23700.0,CE,507.9,506.35,507.6,7231,5743,4232,32.29
2026-08-25 09:37:14,24187.95,2026-08-25,23700.0,PE,0.9,0.85,0.9,247387,133710,44954,17.63
2026-08-25 09:37:14,24187.95,2026-08-25,23750.0,CE,460.0,453.7,455.95,416,592,42,25.85
2026-08-25 09:37:14,24187.95,2026-08-25,23750.0,PE,0.95,0.9,0.95,157107,58566,6906,16.07
2026-08-25 09:37:14,24187.95,2026-08-25,23800.0,CE,405.2,405.25,406.45,5950,6631,711,27.19
2026-08-25 09:37:14,24187.95,2026-08-25,23800.0,PE,1.0,0.95,1.0,415066,162346,37460,14.7
2026-08-25 09:37:14,24187.95,2026-08-25,23850.0,CE,357.85,354.4,355.5,1885,1586,209,24.31
2026-08-25 09:37:14,24187.95,2026-08-25,23850.0,PE,1.1,1.1,1.15,221666,69699,24205,13.17
2026-08-25 09:37:14,24187.95,2026-08-25,23900.0,CE,305.2,305.25,306.1,13784,6747,494,21.98
2026-08-25 09:37:14,24187.95,2026-08-25,23900.0,PE,1.45,1.4,1.45,427989,122006,28680,11.97
2026-08-25 09:37:14,24187.95,2026-08-25,23950.0,CE,256.55,255.75,256.45,15830,4141,1296,19.3
2026-08-25 09:37:14,24187.95,2026-08-25,23950.0,PE,1.8,1.75,1.8,446954,92044,37242,10.64
2026-08-25 09:37:14,24187.95,2026-08-25,24000.0,CE,207.0,206.7,207.05,165224,87183,6605,17.04
2026-08-25 09:37:14,24187.95,2026-08-25,24000.0,PE,2.75,2.75,2.8,953377,336772,86458,9.61
2026-08-25 09:37:14,24187.95,2026-08-25,24050.0,CE,159.0,158.8,159.2,146200,22345,10322,14.76
2026-08-25 09:37:14,24187.95,2026-08-25,24050.0,PE,4.6,4.55,4.6,756768,175622,99860,8.46
2026-08-25 09:37:14,24187.95,2026-08-25,24100.0,CE,113.55,113.25,113.55,606489,100898,46201,12.64
2026-08-25 09:37:14,24187.95,2026-08-25,24100.0,PE,9.2,9.2,9.25,1541678,375714,235055,7.67
2026-08-25 09:37:14,24187.95,2026-08-25,24150.0,CE,72.65,72.4,72.6,1331396,149487,80158,10.9
2026-08-25 09:37:14,24187.95,2026-08-25,24150.0,PE,19.05,18.95,19.05,1911368,407963,296820,6.98
2026-08-25 09:37:14,24187.95,2026-08-25,24200.0,CE,41.2,41.2,41.25,2396270,466959,212429,9.81
2026-08-25 09:37:14,24187.95,2026-08-25,24200.0,PE,37.8,37.8,37.95,1680494,453623,264878,6.27
2026-08-25 09:37:14,24187.95,2026-08-25,24250.0,CE,20.9,20.9,21.0,1437635,314070,119810,9.34
2026-08-25 09:37:14,24187.95,2026-08-25,24250.0,PE,67.55,67.4,67.55,500850,126354,78239,4.99
2026-08-25 09:37:14,24187.95,2026-08-25,24300.0,CE,10.0,9.95,10.05,1493852,454665,122001,9.27
2026-08-25 09:37:14,24187.95,2026-08-25,24300.0,PE,106.75,106.4,106.7,387401,128748,33396,
2026-08-25 09:37:14,24187.95,2026-08-25,24350.0,CE,4.6,4.6,4.65,800249,195910,47606,9.41
2026-08-25 09:37:14,24187.95,2026-08-25,24350.0,PE,151.55,151.2,151.6,82598,32583,5126,
2026-08-25 09:37:14,24187.95,2026-08-25,24400.0,CE,2.3,2.3,2.35,1096771,253327,52412,9.79
2026-08-25 09:37:14,24187.95,2026-08-25,24400.0,PE,198.85,198.35,198.85,61157,38917,-3231,
2026-08-25 09:37:14,24187.95,2026-08-25,24450.0,CE,1.4,1.4,1.45,945152,108223,-7545,10.58
2026-08-25 09:37:14,24187.95,2026-08-25,24450.0,PE,248.45,247.75,248.35,10285,7248,-162,
2026-08-25 09:37:14,24187.95,2026-08-25,24500.0,CE,1.15,1.15,1.2,740596,235273,-15304,11.71
2026-08-25 09:37:14,24187.95,2026-08-25,24500.0,PE,297.85,297.1,297.9,16283,41696,-427,
2026-08-25 09:37:14,24187.95,2026-08-25,24550.0,CE,0.85,0.8,0.85,325271,84746,-14238,12.75
2026-08-25 09:37:14,24187.95,2026-08-25,24550.0,PE,347.1,347.25,348.1,2659,2685,-34,
2026-08-25 09:37:14,24187.95,2026-08-25,24600.0,CE,0.75,0.7,0.75,354634,145855,-9859,14.15
2026-08-25 09:37:14,24187.95,2026-08-25,24600.0,PE,397.2,396.4,397.2,2750,9788,-363,
2026-08-25 09:37:14,24187.95,2026-08-25,24650.0,CE,0.65,0.65,0.7,247182,70597,-10713,15.51
2026-08-25 09:37:14,24187.95,2026-08-25,24650.0,PE,441.8,446.15,447.95,705,2578,-89,
2026-08-25 09:37:14,24187.95,2026-08-25,24700.0,CE,0.65,0.6,0.65,325785,146577,10517,16.51
2026-08-25 09:37:14,24187.95,2026-08-25,24700.0,PE,499.3,496.55,498.25,1608,9879,-409,
2026-08-25 09:38:14,24179.4,2026-08-25,23700.0,CE,500.15,500.05,501.35,7576,7550,6039,29.99
2026-08-25 09:38:14,24179.4,2026-08-25,23700.0,PE,0.85,0.85,0.9,251667,134898,46142,17.49
2026-08-25 09:38:14,24179.4,2026-08-25,23750.0,CE,450.55,448.2,450.25,418,592,42,26.88
2026-08-25 09:38:14,24179.4,2026-08-25,23750.0,PE,0.9,0.9,0.95,159162,58979,7319,15.93
2026-08-25 09:38:14,24179.4,2026-08-25,23800.0,CE,399.6,399.25,400.2,6407,6661,741,24.6
2026-08-25 09:38:14,24179.4,2026-08-25,23800.0,PE,1.0,0.95,1.0,423532,163421,38535,14.57
2026-08-25 09:38:14,24179.4,2026-08-25,23850.0,CE,350.0,349.35,350.4,1906,1587,210,22.49
2026-08-25 09:38:14,24179.4,2026-08-25,23850.0,PE,1.1,1.1,1.15,223890,70134,24640,13.15
2026-08-25 09:38:14,24179.4,2026-08-25,23900.0,CE,300.0,300.0,300.75,14803,7024,771,19.9
2026-08-25 09:38:14,24179.4,2026-08-25,23900.0,PE,1.5,1.45,1.5,440292,121716,28390,12.01
2026-08-25 09:38:14,24179.4,2026-08-25,23950.0,CE,249.8,249.95,250.55,16631,4173,1328,17.68
2026-08-25 09:38:14,24179.4,2026-08-25,23950.0,PE,1.85,1.8,1.85,449868,92231,37429,10.56
2026-08-25 09:38:14,24179.4,2026-08-25,24000.0,CE,201.1,201.3,201.75,169026,86933,6355,15.35
